DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município de residência e Ano notificação
UF de residência: Acre, Alagoas, Amapá, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Sergipe, Tocantins
Período:2014-2025
"Município de residência";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"Total"
"171330 MIRANORTE";1;94;37;98;53;9;48;3;5;290;12;33;14;697
"171360 MONTE DO CARMO";-;-;5;14;2;14;108;13;15;25;15;5;16;232
"171370 MONTE SANTO DO TOCANTINS";-;-;13;17;1;2;6;-;16;31;1;9;10;106
"171380 PALMEIRAS DO TOCANTINS";-;2;1;5;4;1;4;3;3;14;4;3;2;46
"171395 MURICILANDIA";-;6;21;186;2;4;14;-;27;-;-;2;4;266
"171420 NATIVIDADE";-;1;17;13;7;155;54;26;12;73;12;6;8;384
"171430 NAZARE";-;3;-;111;52;7;5;-;1;20;1;10;1;211
"171488 NOVA OLINDA";-;6;13;35;65;11;25;14;38;26;14;10;24;281
"171500 NOVA ROSALANDIA";-;4;10;25;3;-;25;2;13;19;2;-;2;105
"171510 NOVO ACORDO";-;2;13;10;12;6;11;3;5;11;3;1;3;80
"171515 NOVO ALEGRE";-;3;13;37;27;-;2;1;11;33;5;34;33;199
"171525 NOVO JARDIM";-;15;4;53;13;-;50;-;8;79;119;84;8;433
"171550 OLIVEIRA DE FATIMA";-;2;1;3;-;6;28;1;78;45;14;1;15;194
"171570 PALMEIRANTE";-;-;1;1;9;3;12;-;6;19;2;8;7;68
"171575 PALMEIROPOLIS";-;37;107;16;2;14;42;1;9;15;33;288;21;585
"171610 PARAISO DO TOCANTINS";-;155;232;134;76;63;568;105;104;799;267;30;60;2593
"171620 PARANA";-;25;89;15;88;7;86;5;11;7;3;51;149;536
"171630 PAU D'ARCO";-;2;10;3;3;-;1;-;122;9;6;1;17;174
"171650 PEDRO AFONSO";1;9;33;23;34;10;66;3;9;176;15;6;4;389
"171660 PEIXE";-;19;6;10;3;1;170;4;7;49;7;65;14;355
"171665 PEQUIZEIRO";-;-;6;-;14;4;21;1;1;9;4;4;4;68
"171670 COLMEIA";-;11;6;3;9;9;25;1;9;65;2;-;4;144
"171700 PINDORAMA DO TOCANTINS";-;2;6;46;5;48;19;2;17;11;4;3;11;174
"171720 PIRAQUE";-;3;2;9;4;-;2;2;7;34;2;2;13;80
"171750 PIUM";-;45;92;174;43;6;11;3;9;59;111;49;22;624
"171780 PONTE ALTA DO BOM JESUS";-;3;8;4;6;5;73;-;4;20;20;14;1;158
"171790 PONTE ALTA DO TOCANTINS";-;8;13;53;3;2;48;4;64;129;11;29;9;373
"171800 PORTO ALEGRE DO TOCANTINS";-;1;10;-;2;8;23;-;5;26;6;21;17;119
"171820 PORTO NACIONAL";-;62;118;61;54;112;1348;32;677;576;99;107;358;3604
"171830 PRAIA NORTE";-;-;1;61;56;9;46;1;3;13;14;6;3;213
"171840 PRESIDENTE KENNEDY";-;4;8;10;27;-;4;3;28;20;6;3;1;114
"171845 PUGMIL";-;9;19;3;5;4;21;2;1;87;13;3;27;194
"171850 RECURSOLANDIA";-;-;1;19;-;2;13;-;-;10;6;11;-;62
"171855 RIACHINHO";-;1;17;3;3;-;11;3;5;10;3;3;2;61
"171865 RIO DA CONCEICAO";-;2;19;36;54;-;8;1;-;42;46;178;10;396
"171870 RIO DOS BOIS";-;5;15;27;14;15;29;8;25;133;1;6;7;285
"171875 RIO SONO";1;5;17;3;8;1;12;5;5;41;26;8;-;132
"171880 SAMPAIO";-;1;6;6;12;2;5;3;3;10;-;3;6;57
"171884 SANDOLANDIA";-;46;18;13;3;4;38;1;21;3;2;11;17;177
"171886 SANTA FE DO ARAGUAIA";-;8;5;13;6;2;16;13;65;68;3;3;18;220
"171888 SANTA MARIA DO TOCANTINS";-;-;7;18;6;5;-;1;-;39;1;6;-;83
"171889 SANTA RITA DO TOCANTINS";-;-;-;-;-;-;11;1;2;35;3;3;-;55
"171890 SANTA ROSA DO TOCANTINS";-;-;2;6;2;5;32;6;4;52;1;4;10;124
"171900 SANTA TEREZA DO TOCANTINS";-;-;5;4;2;4;17;1;34;12;5;7;23;114
"172000 SANTA TEREZINHA DO TOCANTINS";-;2;-;3;10;10;-;7;25;7;1;1;-;66
"172010 SAO BENTO DO TOCANTINS";-;2;2;20;3;-;16;4;5;25;25;8;7;117
"172015 SAO FELIX DO TOCANTINS";-;1;1;-;1;1;4;-;1;37;-;-;3;49
"172020 SAO MIGUEL DO TOCANTINS";-;3;18;53;12;-;22;4;-;20;4;13;19;168
"172025 SAO SALVADOR DO TOCANTINS";-;7;5;11;8;2;1;1;-;-;-;26;16;77
"172030 SAO SEBASTIAO DO TOCANTINS";-;-;1;-;3;2;8;-;-;-;3;6;-;23
"172049 SAO VALERIO";-;2;17;34;17;1;70;-;185;21;28;18;1;394
"172065 SILVANOPOLIS";-;3;12;70;6;3;52;2;19;154;3;9;3;336
"172080 SITIO NOVO DO TOCANTINS";-;12;15;42;10;2;7;6;4;4;15;27;16;160
"172085 SUCUPIRA";-;1;2;2;1;-;11;-;-;49;-;2;1;69
"172090 TAGUATINGA";-;8;32;21;7;13;23;8;28;27;12;162;15;356
"172093 TAIPAS DO TOCANTINS";-;6;4;1;-;1;90;8;44;42;10;10;1;217
"172097 TALISMA";-;75;3;1;4;36;39;2;8;59;29;43;-;299
"172100 PALMAS";12;1244;4317;2018;1188;1189;5339;509;4266;11851;500;422;227;33082
"172110 TOCANTINIA";-;41;11;61;24;10;59;10;3;116;-;6;8;349
"172120 TOCANTINOPOLIS";-;84;117;318;140;26;138;22;32;281;48;29;33;1268
"172125 TUPIRAMA";-;6;6;9;-;-;28;-;3;19;2;6;5;84
"172130 TUPIRATINS";-;-;-;-;1;-;5;-;8;43;5;21;2;85
"172208 WANDERLANDIA";-;2;7;13;8;2;9;2;15;8;2;1;2;71
"172210 XAMBIOA";-;1;4;11;1;1;15;8;21;27;1;5;7;102
"210005 ACAILANDIA";-;27;48;6;2;-;3;-;1;52;18;39;27;223
"210010 AFONSO CUNHA";-;1;-;-;1;-;1;-;-;2;-;9;1;15
"210015 AGUA DOCE DO MARANHAO";-;-;-;-;1;-;1;-;-;4;3;10;3;22
"210020 ALCANTARA";-;4;10;40;14;3;1;3;10;5;1;21;7;119
"210030 ALDEIAS ALTAS";-;9;24;6;19;11;11;1;2;56;32;26;21;218
"210040 ALTAMIRA DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;3;1;4
"210043 ALTO ALEGRE DO MARANHAO";-;-;3;2;1;-;55;2;2;-;-;44;43;152
"210047 ALTO ALEGRE DO PINDARE";-;7;9;7;13;35;8;4;2;18;11;12;2;128
"210050 ALTO PARNAIBA";-;10;9;32;28;27;7;31;2;141;19;30;6;342
"210055 AMAPA DO MARANHAO";-;-;4;-;-;-;1;3;1;-;2;36;-;47
"210060 AMARANTE DO MARANHAO";-;10;46;30;86;1;61;11;7;7;40;23;4;326
"210070 ANAJATUBA";-;-;1;1;-;5;3;1;-;4;6;11;6;38
"210080 ANAPURUS";-;-;5;1;32;44;52;7;-;3;3;5;56;208
"210083 APICUM-ACU";-;21;-;1;-;2;1;-;1;2;13;30;66;137
"210087 ARAGUANA";-;2;2;92;-;-;1;1;-;2;1;15;8;124
"210090 ARAIOSES";-;-;56;8;46;-;7;-;2;19;4;6;8;156
"210095 ARAME";-;23;12;77;8;14;4;6;2;17;8;16;18;205
"210100 ARARI";-;2;4;4;-;2;6;-;4;177;66;35;7;307
"210110 AXIXA";-;-;15;29;1;-;5;-;-;1;2;8;3;64
"210120 BACABAL";-;4;58;203;40;1;6;7;3;15;92;35;27;491
"210125 BACABEIRA";-;7;12;17;7;4;24;28;20;14;8;61;50;252
"210130 BACURI";-;-;1;1;-;2;1;1;1;1;4;67;8;87
"210135 BACURITUBA";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"210140 BALSAS";-;15;65;1461;1133;14;230;164;46;250;84;216;398;4076
"210150 BARAO DE GRAJAU";-;4;4;16;10;-;20;1;7;27;7;30;27;153
"210160 BARRA DO CORDA";-;76;518;6429;2077;400;539;440;511;165;92;225;66;11538
"210170 BARREIRINHAS";-;3;2;1;-;1;4;-;-;5;5;11;5;37
"210173 BELAGUA";-;-;-;10;-;-;-;-;1;-;2;3;-;16
"210177 BELA VISTA DO MARANHAO";-;-;9;5;1;-;-;-;-;1;1;1;2;20
"210180 BENEDITO LEITE";-;-;-;1;7;1;13;-;71;6;1;96;15;211
"210190 BEQUIMAO";-;9;142;128;69;1;1;-;4;18;6;97;2;477
"210193 BERNARDO DO MEARIM";-;-;2;5;1;-;1;3;-;-;1;3;1;17
"210197 BOA VISTA DO GURUPI";-;-;-;-;-;1;-;1;-;2;1;7;-;12
"210200 BOM JARDIM";-;43;7;136;21;6;2;2;-;4;-;42;9;272
"210203 BOM JESUS DAS SELVAS";-;28;12;518;2;-;-;2;2;11;4;11;50;640
"210207 BOM LUGAR";-;-;11;1;4;-;1;7;1;2;7;8;1;43
"210210 BREJO";-;3;35;22;23;10;4;2;1;5;-;7;6;118
"210215 BREJO DE AREIA";-;-;1;2;3;-;1;-;3;-;2;4;1;17
"210220 BURITI";-;1;-;1;7;4;11;-;5;4;1;11;10;55
"210230 BURITI BRAVO";-;4;77;209;1;2;-;1;1;4;-;89;23;411
"210232 BURITICUPU";-;35;207;15;-;4;2;6;3;51;6;338;93;760
"210235 BURITIRANA";-;7;4;12;6;3;4;9;-;1;4;116;4;170
"210237 CACHOEIRA GRANDE";-;-;-;2;-;-;1;1;-;3;-;9;2;18
"210240 CAJAPIO";-;-;-;-;-;-;-;2;-;-;1;1;2;6
"210250 CAJARI";-;-;1;-;-;-;-;-;-;2;-;2;7;12
"210255 CAMPESTRE DO MARANHAO";-;3;329;147;155;8;140;7;1;27;13;51;14;895
"210260 CANDIDO MENDES";-;18;1;-;-;-;-;-;-;-;1;1;45;66
"210270 CANTANHEDE";-;6;27;66;-;1;2;1;22;1;9;5;12;152
"210275 CAPINZAL DO NORTE";-;1;2;-;-;2;19;1;1;2;3;7;3;41
"210280 CAROLINA";-;56;36;88;25;16;16;16;1;11;12;33;12;322
"210290 CARUTAPERA";-;4;2;1;-;1;15;2;-;3;6;43;3;80
"210300 CAXIAS";-;93;247;544;317;183;186;7;5;182;52;84;47;1947
"210310 CEDRAL";-;2;1;-;-;-;-;-;-;-;-;2;1;6
"210312 CENTRAL DO MARANHAO";-;-;-;-;-;-;-;-;-;2;1;4;2;9
"210315 CENTRO DO GUILHERME";-;-;-;2;1;1;-;2;-;1;1;4;-;12
"210317 CENTRO NOVO DO MARANHAO";-;1;1;-;-;-;1;1;1;6;1;16;4;32
"210320 CHAPADINHA";-;1;216;690;76;27;37;17;5;33;110;27;56;1295
"210325 CIDELANDIA";-;12;11;11;18;2;24;-;-;56;8;40;8;190
"210330 CODO";-;5;22;6;7;1;13;2;5;46;10;15;37;169
"210340 COELHO NETO";-;8;3;162;-;-;12;-;1;182;13;6;5;392
"210350 COLINAS";-;6;7;13;5;-;160;18;2;53;11;153;38;466
"210355 CONCEICAO DO LAGO-ACU";-;1;1;-;-;-;-;-;-;2;-;7;6;17
"210360 COROATA";-;2;-;14;14;9;7;-;1;9;4;77;4;141
"210370 CURURUPU";-;33;157;447;22;2;5;12;5;6;7;18;8;722
"210375 DAVINOPOLIS";-;5;13;37;6;-;2;-;-;3;18;46;6;136
"210380 DOM PEDRO";-;2;22;5;6;-;37;-;2;12;3;7;4;100
"210390 DUQUE BACELAR";-;2;-;5;-;1;10;1;-;12;3;17;6;57
"210400 ESPERANTINOPOLIS";-;4;-;32;3;3;3;-;1;3;4;22;8;83
"210405 ESTREITO";-;17;4;13;71;11;32;12;64;32;15;42;19;332
"210407 FEIRA NOVA DO MARANHAO";-;-;10;18;26;3;168;20;-;5;17;68;19;354
"210408 FERNANDO FALCAO";-;-;18;17;8;-;1;-;-;-;2;12;2;60
"210409 FORMOSA DA SERRA NEGRA";-;5;8;16;17;5;147;85;3;31;10;19;17;363
"210410 FORTALEZA DOS NOGUEIRAS";-;1;3;104;161;8;21;144;4;36;4;21;3;510
"210420 FORTUNA";-;-;29;201;47;1;46;1;30;1;2;37;2;397
"210430 GODOFREDO VIANA";-;8;-;-;1;-;3;-;1;2;-;32;5;52
"210440 GONCALVES DIAS";-;-;4;1;-;1;10;-;2;1;28;120;2;169
"210450 GOVERNADOR ARCHER";-;18;28;45;2;2;1;-;-;12;7;50;2;167
"210455 GOVERNADOR EDISON LOBAO";-;13;24;52;33;35;104;16;17;21;34;30;13;392
"210460 GOVERNADOR EUGENIO BARROS";-;1;1;1;-;-;-;-;-;9;119;4;2;137
"210462 GOVERNADOR LUIZ ROCHA";-;-;1;-;15;5;1;1;1;-;1;19;3;47
"210465 GOVERNADOR NEWTON BELLO";-;5;-;2;-;4;3;-;1;1;5;48;4;73
"210467 GOVERNADOR NUNES FREIRE";-;1;-;406;6;3;-;3;-;5;1;11;5;441
"210470 GRACA ARANHA";-;-;3;2;3;-;3;-;-;1;1;25;-;38
"210480 GRAJAU";-;4;26;91;8;3;9;-;7;132;20;119;38;457
"210490 GUIMARAES";-;-;8;-;-;-;-;-;-;-;1;7;1;17
"210500 HUMBERTO DE CAMPOS";-;4;9;26;7;5;6;2;-;6;1;8;7;81
"210510 ICATU";-;1;1;1;-;-;3;-;1;1;2;12;3;25
"210515 IGARAPE DO MEIO";-;1;30;5;20;2;3;-;4;6;2;8;2;83
"210520 IGARAPE GRANDE";-;-;-;-;1;3;63;1;1;6;4;40;2;121
"210530 IMPERATRIZ";-;113;180;568;213;43;125;30;12;257;287;676;94;2598
"210535 ITAIPAVA DO GRAJAU";-;8;8;175;1;-;5;-;1;-;-;15;3;216
"210540 ITAPECURU MIRIM";-;-;22;15;7;32;67;17;5;9;10;39;14;237
"210542 ITINGA DO MARANHAO";-;37;-;73;42;5;19;16;2;33;43;9;53;332
"210545 JATOBA";-;1;1;-;-;-;12;1;1;1;1;176;27;221
"210547 JENIPAPO DOS VIEIRAS";-;-;-;50;41;1;18;1;13;-;1;77;1;203
"210550 JOAO LISBOA";-;4;19;237;14;2;9;1;-;6;4;57;27;380
"210560 JOSELANDIA";-;-;4;2;-;-;12;2;2;-;25;6;7;60
"210565 JUNCO DO MARANHAO";-;3;6;3;-;-;-;-;-;2;-;8;179;201
"210570 LAGO DA PEDRA";-;13;18;17;27;3;14;22;7;10;3;11;4;149
"210580 LAGO DO JUNCO";-;-;-;-;-;-;14;-;1;2;14;21;1;53
"210590 LAGO VERDE";-;18;2;35;2;-;-;1;-;2;2;26;2;90
"210592 LAGOA DO MATO";-;3;4;3;7;1;1;2;-;52;-;28;50;151
"210594 LAGO DOS RODRIGUES";-;1;2;13;-;-;-;-;-;7;-;10;-;33
"210596 LAGOA GRANDE DO MARANHAO";-;2;-;92;3;16;43;3;3;-;1;10;-;173
"210598 LAJEADO NOVO";-;10;26;7;-;1;6;14;9;47;30;46;6;202
"210600 LIMA CAMPOS";-;-;1;1;-;-;2;-;-;-;1;4;1;10
"210610 LORETO";-;-;2;3;41;-;1;4;1;18;13;17;5;105
"210620 LUIS DOMINGUES";-;-;-;-;-;-;1;-;-;-;1;16;4;22
"210630 MAGALHAES DE ALMEIDA";-;-;2;2;-;-;3;1;-;6;-;7;2;23
"210632 MARACACUME";-;6;16;110;1;91;23;1;5;1;3;63;20;340
"210635 MARAJA DO SENA";-;-;-;-;-;-;-;-;-;-;-;2;14;16
"210637 MARANHAOZINHO";-;-;-;26;1;-;3;-;-;4;4;13;3;54
"210640 MATA ROMA";-;-;1;5;3;3;21;1;-;5;6;12;25;82
"210650 MATINHA";-;2;2;5;-;-;2;1;-;5;-;5;1;23
"210660 MATOES";-;7;29;24;68;1;30;4;5;27;30;103;60;388
"210663 MATOES DO NORTE";-;-;3;23;-;4;1;-;-;1;3;19;9;63
"210667 MILAGRES DO MARANHAO";-;1;2;-;1;1;-;-;-;1;-;2;3;11
"210670 MIRADOR";-;2;11;3;-;-;2;3;-;3;-;4;3;31
"210675 MIRANDA DO NORTE";-;5;21;411;1;17;3;3;-;18;22;39;26;566
"210680 MIRINZAL";-;6;7;1;-;-;2;-;-;-;3;4;2;25
"210690 MONCAO";-;1;2;21;-;-;2;-;2;3;3;144;17;195
"210700 MONTES ALTOS";-;5;-;3;17;5;22;4;-;4;2;63;6;131
"210710 MORROS";-;1;2;6;8;-;1;-;-;3;-;28;3;52
"210720 NINA RODRIGUES";-;-;5;45;-;11;-;-;-;-;2;24;3;90
"210725 NOVA COLINAS";-;-;-;5;10;1;9;34;-;2;1;4;4;70
"210730 NOVA IORQUE";-;-;5;8;7;6;3;-;-;1;4;23;10;67
"210735 NOVA OLINDA DO MARANHAO";-;31;107;158;-;-;-;-;-;4;2;4;1;307
"210740 OLHO D'AGUA DAS CUNHAS";-;-;-;1;-;-;34;1;-;-;4;13;3;56
"210745 OLINDA NOVA DO MARANHAO";-;9;-;1;-;-;1;1;-;3;-;5;5;25
"210750 PACO DO LUMIAR";-;51;114;178;30;26;65;3;2;48;75;55;29;676
"210760 PALMEIRANDIA";-;1;3;-;-;-;-;-;-;1;-;7;-;12
"210770 PARAIBANO";-;3;102;113;62;3;71;3;34;261;40;89;198;979
"210780 PARNARAMA";-;4;20;71;3;1;-;-;1;84;3;139;74;400
"210790 PASSAGEM FRANCA";-;-;3;1;14;-;2;1;2;61;2;12;170;268
"210800 PASTOS BONS";-;-;28;6;5;-;2;38;-;2;1;389;182;653
"210805 PAULINO NEVES";-;3;11;4;-;-;3;-;-;-;2;7;1;31
"210810 PAULO RAMOS";-;2;-;-;1;1;7;1;5;14;2;14;25;72
"210820 PEDREIRAS";-;26;37;16;3;4;3;3;3;9;193;48;21;366
"210825 PEDRO DO ROSARIO";-;-;12;-;-;-;1;-;-;3;3;10;5;34
"210830 PENALVA";-;-;1;1;-;-;-;-;-;4;7;5;5;23
"210840 PERI MIRIM";-;26;53;5;-;-;-;-;1;-;-;3;1;89
"210845 PERITORO";-;1;14;12;5;-;9;1;1;1;1;6;2;53
"210850 PINDARE-MIRIM";-;8;7;10;63;1;2;1;2;11;5;5;37;152
"210860 PINHEIRO";-;130;298;6;3;4;13;3;5;26;167;55;10;720
"210870 PIO XII";-;5;14;6;6;2;11;1;-;14;8;26;12;105
"210880 PIRAPEMAS";-;-;15;8;-;1;2;2;5;8;1;15;2;59
"210890 POCAO DE PEDRAS";-;-;4;13;2;1;49;2;1;3;6;14;31;126
"210900 PORTO FRANCO";-;4;21;21;4;3;11;2;10;80;12;33;50;251
"210905 PORTO RICO DO MARANHAO";-;1;3;15;1;-;-;-;1;2;4;-;2;29
"210910 PRESIDENTE DUTRA";-;1;19;75;3;2;46;1;-;7;8;33;7;202
"210920 PRESIDENTE JUSCELINO";-;4;4;3;-;1;1;1;2;1;1;3;7;28
"210923 PRESIDENTE MEDICI";-;-;74;-;-;-;-;1;-;-;-;1;1;77
"210927 PRESIDENTE SARNEY";-;5;7;2;-;79;99;26;1;-;14;89;11;333
"210930 PRESIDENTE VARGAS";-;2;15;8;2;3;1;-;-;3;5;6;5;50
"210940 PRIMEIRA CRUZ";-;3;5;160;-;2;-;-;-;3;-;2;1;176
"210945 RAPOSA";-;4;6;13;5;6;1;3;-;8;18;44;13;121
"210950 RIACHAO";-;3;11;96;32;9;10;15;2;2;18;16;23;237
"210955 RIBAMAR FIQUENE";-;4;2;9;-;-;4;-;1;12;17;12;3;64
"210960 ROSARIO";-;27;119;220;8;3;9;41;3;4;9;32;11;486
"210970 SAMBAIBA";-;-;-;-;13;1;1;2;-;14;-;14;3;48
"210975 SANTA FILOMENA DO MARANHAO";-;-;1;15;-;-;39;-;-;2;-;3;-;60
"210980 SANTA HELENA";-;32;83;2;-;11;9;-;-;27;112;16;71;363
"210990 SANTA INES";-;12;32;10;29;15;42;3;14;23;42;83;41;346
"211000 SANTA LUZIA";-;8;19;20;-;6;9;2;3;22;153;43;9;294
"211003 SANTA LUZIA DO PARUA";-;10;15;-;5;1;70;1;-;3;1;10;6;122
"211010 SANTA QUITERIA DO MARANHAO";-;-;-;17;-;-;2;2;-;4;1;2;1;29
"211020 SANTA RITA";-;5;14;20;3;7;6;5;11;24;4;45;11;155
"211023 SANTANA DO MARANHAO";-;-;-;1;1;-;1;-;-;4;1;8;11;27
"211027 SANTO AMARO DO MARANHAO";-;-;1;2;-;-;1;1;-;-;1;4;-;10
"211030 SANTO ANTONIO DOS LOPES";-;1;-;3;-;-;-;-;-;-;-;33;8;45
"211040 SAO BENEDITO DO RIO PRETO";-;-;27;3;-;2;5;2;-;3;4;7;1;54
"211050 SAO BENTO";-;1;7;8;-;-;1;1;-;3;2;9;7;39
"211060 SAO BERNARDO";-;43;3;1;1;-;1;-;-;2;3;19;3;76
"211065 SAO DOMINGOS DO AZEITAO";-;-;-;-;12;-;-;-;27;6;2;14;7;68
"211070 SAO DOMINGOS DO MARANHAO";-;25;28;26;1;-;19;6;-;3;-;66;20;194
"211080 SAO FELIX DE BALSAS";-;-;-;-;71;1;-;-;1;-;1;1;17;92
"211085 SAO FRANCISCO DO BREJAO";-;4;10;59;30;4;11;2;-;7;70;9;16;222
"211090 SAO FRANCISCO DO MARANHAO";-;2;-;-;-;3;75;10;1;41;5;43;11;191
"211100 SAO JOAO BATISTA";-;-;-;2;-;-;1;1;-;2;1;1;3;11
"211102 SAO JOAO DO CARU";-;1;-;2;-;-;1;2;-;6;2;20;2;36
"211105 SAO JOAO DO PARAISO";-;9;15;59;8;5;44;8;5;8;6;50;8;225
"211107 SAO JOAO DO SOTER";-;5;1;4;2;3;1;-;-;1;-;31;1;49
"211110 SAO JOAO DOS PATOS";-;2;9;1;19;-;26;3;1;15;8;417;26;527
"211120 SAO JOSE DE RIBAMAR";-;41;330;850;225;117;127;44;12;128;133;110;55;2172
"211125 SAO JOSE DOS BASILIOS";-;1;5;32;14;-;59;-;2;11;-;16;5;145
"211130 SAO LUIS";-;929;2425;4783;1018;572;1043;734;154;2126;1503;1656;1408;18351
"211140 SAO LUIS GONZAGA DO MARANHAO";-;1;1;-;11;9;16;3;2;9;8;17;5;82
"211150 SAO MATEUS DO MARANHAO";-;1;26;61;-;-;35;8;3;12;21;277;6;450
"211153 SAO PEDRO DA AGUA BRANCA";-;1;1;289;1;2;43;1;1;10;17;45;10;421
"211157 SAO PEDRO DOS CRENTES";-;-;10;7;10;2;332;115;1;11;49;144;2;683
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;13;42;81;2;22;9;-;196;4;9;9;387
"211163 SAO RAIMUNDO DO DOCA BEZERRA";-;-;-;129;-;-;2;-;-;2;-;1;2;136
"211167 SAO ROBERTO";-;-;-;-;1;1;8;-;-;-;-;8;8;26
"211170 SAO VICENTE FERRER";-;3;2;-;-;-;-;-;-;1;1;8;7;22
"211172 SATUBINHA";-;-;1;7;1;-;5;7;1;10;10;42;1;85
"211174 SENADOR ALEXANDRE COSTA";-;-;71;33;-;2;1;-;-;5;-;29;13;154
"211176 SENADOR LA ROCQUE";-;2;1;48;4;4;23;5;-;5;1;8;4;105
"211178 SERRANO DO MARANHAO";-;1;-;1;-;-;-;-;-;-;-;11;14;27
"211180 SITIO NOVO";-;40;4;9;1;10;91;36;4;16;97;114;7;429
"211190 SUCUPIRA DO NORTE";-;1;1;1;1;-;1;1;1;5;30;105;83;230
"211195 SUCUPIRA DO RIACHAO";-;-;-;-;-;-;5;-;23;28;-;95;5;156
"211200 TASSO FRAGOSO";-;4;45;106;25;4;3;93;20;80;34;103;134;651
"211210 TIMBIRAS";-;2;6;1;-;-;1;1;-;2;2;10;4;29
"211220 TIMON";-;12;137;88;44;10;19;18;5;957;251;703;126;2370
"211223 TRIZIDELA DO VALE";-;12;4;29;2;6;4;6;2;6;24;8;5;108
"211227 TUFILANDIA";-;-;-;1;-;-;1;-;-;1;-;5;-;8
"211230 TUNTUM";-;14;86;48;4;2;70;1;3;4;1;48;6;287
"211240 TURIACU";-;3;-;82;29;3;-;1;-;3;1;32;8;162
"211245 TURILANDIA";-;62;139;17;8;10;25;6;-;2;80;82;8;439
"211250 TUTOIA";-;6;13;17;2;5;10;6;2;25;3;68;31;188
"211260 URBANO SANTOS";-;-;23;185;-;2;20;1;-;1;21;20;7;280
"211270 VARGEM GRANDE";-;14;67;105;11;4;2;-;2;4;2;2;3;216
"211280 VIANA";-;5;10;3;4;5;10;1;4;5;-;18;6;71
"211285 VILA NOVA DOS MARTIRIOS";-;6;-;65;17;3;11;-;1;2;5;231;32;373
"211290 VITORIA DO MEARIM";-;-;2;7;1;2;1;-;1;15;6;11;8;54
"211300 VITORINO FREIRE";-;2;2;38;2;2;2;-;-;3;4;2;31;88
"211400 ZE DOCA";-;25;150;573;5;5;32;22;4;22;2;91;28;959
"220005 ACAUA";-;6;25;-;-;-;9;16;-;62;2;41;-;161
"220010 AGRICOLANDIA";-;1;3;-;-;1;1;1;16;20;3;-;2;48
"220020 AGUA BRANCA";-;21;15;3;26;-;6;11;84;94;61;70;36;427
"220025 ALAGOINHA DO PIAUI";-;2;4;15;2;5;11;84;10;3;1;113;-;250
"220027 ALEGRETE DO PIAUI";-;-;5;22;1;-;5;39;1;25;-;-;2;100
"220030 ALTO LONGA";-;20;6;14;122;29;26;6;-;51;10;39;9;332
"220040 ALTOS";-;12;19;38;17;7;15;3;3;15;33;25;75;262
"220045 ALVORADA DO GURGUEIA";-;41;79;2;-;-;57;1;6;3;1;140;6;336
"220050 AMARANTE";-;6;3;2;3;23;-;-;-;31;16;80;3;167
"220060 ANGICAL DO PIAUI";-;13;8;4;8;3;2;-;-;74;1;44;4;161
"220070 ANISIO DE ABREU";-;28;1;-;1;11;2;-;-;46;-;-;-;89
"220080 ANTONIO ALMEIDA";-;9;-;1;-;1;7;1;13;106;1;151;2;292
"220090 AROAZES";-;5;-;-;-;-;2;-;41;10;-;2;2;62
"220095 AROEIRAS DO ITAIM";-;1;-;-;1;-;1;-;6;8;-;1;7;25
"220100 ARRAIAL";-;1;-;-;84;-;2;4;-;4;12;5;8;120
"220105 ASSUNCAO DO PIAUI";-;7;3;2;-;-;-;-;-;3;3;3;2;23
"220110 AVELINO LOPES";-;-;-;-;-;2;55;1;13;72;-;41;-;184
"220115 BAIXA GRANDE DO RIBEIRO";-;-;4;-;11;5;5;41;1;26;46;27;12;178
"220117 BARRA D'ALCANTARA";-;1;3;-;1;1;-;-;1;36;28;-;17;88
"220120 BARRAS";-;260;77;8;3;-;4;12;-;34;4;57;488;947
"220130 BARREIRAS DO PIAUI";-;-;-;2;-;-;-;5;24;6;-;17;-;54
"220140 BARRO DURO";-;-;-;2;1;-;-;-;-;28;57;1;8;97
"220150 BATALHA";-;33;25;48;4;-;4;-;-;15;1;3;16;149
"220155 BELA VISTA DO PIAUI";-;-;-;-;-;14;3;-;-;23;2;1;1;44
"220157 BELEM DO PIAUI";-;9;7;-;-;-;14;29;1;39;6;4;-;109
"220160 BENEDITINOS";-;14;1;17;3;19;15;3;6;38;16;18;45;195
"220170 BERTOLINIA";-;-;1;-;-;-;24;1;3;32;-;8;4;73
"220173 BETANIA DO PIAUI";-;1;50;2;-;-;8;2;-;33;5;32;3;136
"220177 BOA HORA";-;1;-;-;1;9;-;-;1;2;-;1;2;17
"220180 BOCAINA";-;2;8;2;1;1;13;-;7;10;-;-;2;46
"220190 BOM JESUS";-;53;58;16;23;10;151;41;128;77;77;2216;17;2867
